method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Hybrid keyword,keyword_compress,5a8488f45542992a431d1a47,"Who wrote The Devils, and was an eninent English theater, opera and film director?",1.0,1.0,0.8772153153380493,1.5,0.0,2,wrote devils eninent english theater opera film director,The Devils (play) | 4 Devils | Julien Nitzberg | Peter Hall (director) | Alexis Soriano,Peter Hall (director) | The Devils (play)
Dense original,keep,5ab762fb55429928e1fe3857,The rifle cartridge created by the Swedish was also shared by which other nation?,0.5,1.0,0.6131471927654584,1.0,0.0,1,The rifle cartridge created by the Swedish was also shared by which other nation?,6.5×55mm | 6.5×53mmR | Intermediate cartridge | 8×68mm S | 6.5×68mm,5.6×61mm VHSE | 6.5×55mm
Dense keyword,keyword_compress,5ab762fb55429928e1fe3857,The rifle cartridge created by the Swedish was also shared by which other nation?,0.5,1.0,0.6131471927654584,1.0,0.0,1,rifle cartridge created swedish also shared other nation,6.5×55mm | 6.5×53mmR | Intermediate cartridge | 8×68mm S | 6.5×68mm,5.6×61mm VHSE | 6.5×55mm
Hybrid original,keep,5ab762fb55429928e1fe3857,The rifle cartridge created by the Swedish was also shared by which other nation?,0.5,1.0,0.6131471927654584,1.0,0.0,2,The rifle cartridge created by the Swedish was also shared by which other nation?,6.5×55mm | .250-3000 Savage | 6.5×68mm | 6.5×53mmR | Intermediate cartridge,5.6×61mm VHSE | 6.5×55mm
Hybrid keyword,keyword_compress,5ab762fb55429928e1fe3857,The rifle cartridge created by the Swedish was also shared by which other nation?,1.0,1.0,0.9197207891481876,1.5,0.0,2,rifle cartridge created swedish also shared other nation,6.5×55mm | .250-3000 Savage | 5.6×61mm VHSE | 6.5×53mmR | 6.5×68mm,5.6×61mm VHSE | 6.5×55mm
Dense original,keep,5a8f54215542992414482a54,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on? ",1.0,0.5,0.6509209298071326,1.25,0.0,1,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on?",BMW X1 | BMW xDrive | BMW X5 | BMW 5 Series | BMW 8 Series,BMW 5 Series | BMW xDrive
Dense keyword,keyword_compress,5a8f54215542992414482a54,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on? ",0.5,1.0,0.6131471927654584,1.0,0.0,1,generation bmw series optional xdrive begun 2005,BMW xDrive | BMW X5 | BMW X1 | BMW X3 | BMW 8 Series,BMW 5 Series | BMW xDrive
Hybrid original,keep,5a8f54215542992414482a54,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on? ",1.0,1.0,0.8503449055347546,1.5,0.0,2,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on?",BMW xDrive | BMW X1 | BMW 8 Series | BMW X5 | BMW 5 Series,BMW 5 Series | BMW xDrive
Hybrid keyword,keyword_compress,5a8f54215542992414482a54,"What generation is the BMW series, that is optional on the xDrive that begun in 2005, on? ",0.5,1.0,0.6131471927654584,1.0,0.0,2,generation bmw series optional xdrive begun 2005,BMW xDrive | BMW X1 | BMW X5 | BMW 8 Series | BMW Hydrogen 7,BMW 5 Series | BMW xDrive
Dense original,keep,5a89d26b5542992e4fca83d1,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,1.0,1.0,0.8503449055347546,1.5,0.0,1,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,Leo Harris | Oswald the Lucky Rabbit | The Walt Disney Company | Goofy | Donald Duck,Donald Duck | Leo Harris
Dense keyword,keyword_compress,5a89d26b5542992e4fca83d1,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,1.0,1.0,0.8503449055347546,1.5,0.0,1,leo harris also known handshake deal walt disney permitted university oregon use likeness cartoon character created 1934 walt disney productions,Leo Harris | Oswald the Lucky Rabbit | The Walt Disney Company | Goofy | Donald Duck,Donald Duck | Leo Harris
Hybrid original,keep,5a89d26b5542992e4fca83d1,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,1.0,1.0,0.9197207891481876,1.5,0.0,2,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,Leo Harris | Oswald the Lucky Rabbit | Donald Duck | The Walt Disney Company | Goofy,Donald Duck | Leo Harris
Hybrid keyword,keyword_compress,5a89d26b5542992e4fca83d1,Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,1.0,1.0,0.9197207891481876,1.5,0.0,2,leo harris also known handshake deal walt disney permitted university oregon use likeness cartoon character created 1934 walt disney productions,Leo Harris | Oswald the Lucky Rabbit | Donald Duck | The Walt Disney Company | Goofy,Donald Duck | Leo Harris
Dense original,keep,5ac4a7615542996feb3fe92a,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",Sexy Star | Guerra de Titanes (1997) | Guerra de Titanes (1999) | Guerra de Titanes (2008) | Guerra de Titanes (2011),Guerra de Titanes (2009) | Sexy Star
Dense keyword,keyword_compress,5ac4a7615542996feb3fe92a,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",1.0,1.0,0.8503449055347546,1.5,0.0,1,dulce maria garc rivas took part mask vs hair match female wrestler guerra de titanes,Sexy Star | Guerra de Titanes (1999) | Guerra de Titanes (1997) | Guerra de Titanes (2008) | Guerra de Titanes (2009),Guerra de Titanes (2009) | Sexy Star
Hybrid original,keep,5ac4a7615542996feb3fe92a,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",Sexy Star | Guerra de Titanes (1999) | Guerra de Titanes (1997) | Guerra de Titanes (2011) | Guerra de Titanes (2008),Guerra de Titanes (2009) | Sexy Star
Hybrid keyword,keyword_compress,5ac4a7615542996feb3fe92a,"Dulce Maria García Rivas took part in a ""Mask vs. Hair"" match with which female wrestler at Guerra de Titanes?",1.0,1.0,0.8772153153380493,1.5,0.0,2,dulce maria garc rivas took part mask vs hair match female wrestler guerra de titanes,Sexy Star | Guerra de Titanes (1999) | Guerra de Titanes (1997) | Guerra de Titanes (2009) | Guerra de Titanes (2008),Guerra de Titanes (2009) | Sexy Star
Dense original,keep,5a7eb22655429930675135cb,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1.0,1.0,0.8503449055347546,1.5,0.0,1,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1998–99 Portland Trail Blazers season | 1996–97 Detroit Pistons season | 1991–92 Atlanta Hawks season | 1996–97 Portland Trail Blazers season | Greg Anthony,1998–99 Portland Trail Blazers season | Greg Anthony
Dense keyword,keyword_compress,5a7eb22655429930675135cb,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1.0,1.0,0.8503449055347546,1.5,0.0,1,current cbs nba analyst played portland trailblazers along former unlv teammate stacey augmon,1998–99 Portland Trail Blazers season | 1996–97 Detroit Pistons season | 1996–97 Portland Trail Blazers season | 1991–92 Atlanta Hawks season | Greg Anthony,1998–99 Portland Trail Blazers season | Greg Anthony
Hybrid original,keep,5a7eb22655429930675135cb,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1.0,1.0,0.9197207891481876,1.5,0.0,2,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1998–99 Portland Trail Blazers season | 1996–97 Detroit Pistons season | Greg Anthony | 1991–92 Atlanta Hawks season | Ric Bucher,1998–99 Portland Trail Blazers season | Greg Anthony
Hybrid keyword,keyword_compress,5a7eb22655429930675135cb,Which current CBS NBA analyst played for the PORTLAND TRAILBLazers along with former UNLV teammate Stacey Augmon?,1.0,1.0,1.0,1.5,0.0,2,current cbs nba analyst played portland trailblazers along former unlv teammate stacey augmon,1998–99 Portland Trail Blazers season | Greg Anthony | 1996–97 Detroit Pistons season | 1996–97 Portland Trail Blazers season | 1991–92 Atlanta Hawks season,1998–99 Portland Trail Blazers season | Greg Anthony
Dense original,keep,5abd09585542996e802b469b,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,1.0,0.5,0.6934264036172708,1.25,0.0,1,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,The Cat and the Fiddle (film) | Once (film) | Once (musical) | Adaraneeya Kathawak | Show Boat (1936 film),Once (film) | Once (musical)
Dense keyword,keyword_compress,5abd09585542996e802b469b,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,1.0,1.0,0.9197207891481876,1.5,0.0,1,year musical premiere based 2007 irish romantic musical film same name,Once (film) | The Cat and the Fiddle (film) | Once (musical) | Adaraneeya Kathawak | Show Boat (1936 film),Once (film) | Once (musical)
Hybrid original,keep,5abd09585542996e802b469b,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,2,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,South Pacific (1958 film) | The Cat and the Fiddle (film) | Once (film) | Once (musical) | Show Boat (1936 film),Once (film) | Once (musical)
Hybrid keyword,keyword_compress,5abd09585542996e802b469b,What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?,1.0,1.0,0.9197207891481876,1.5,0.0,2,year musical premiere based 2007 irish romantic musical film same name,Once (film) | The Cat and the Fiddle (film) | Once (musical) | Kings (2007 film) | Show Boat (1936 film),Once (film) | Once (musical)
Dense original,keep,5a8babf05542996e8ac8899e,"Whose native growing land is more south, Beech or Daviesia?",1.0,0.5,0.6934264036172708,1.25,0.0,1,"Whose native growing land is more south, Beech or Daviesia?",Gmelina leichhardtii | Daviesia | Beech | Pinus strobiformis | Wildlife of Kerala,Beech | Daviesia
Dense keyword,keyword_compress,5a8babf05542996e8ac8899e,"Whose native growing land is more south, Beech or Daviesia?",1.0,0.5,0.6934264036172708,1.25,0.0,1,native growing land more south beech daviesia,Gmelina leichhardtii | Daviesia | Beech | Wildlife of Kerala | Pinus strobiformis,Beech | Daviesia
Hybrid original,keep,5a8babf05542996e8ac8899e,"Whose native growing land is more south, Beech or Daviesia?",1.0,0.5,0.6240505200038379,1.25,0.0,2,"Whose native growing land is more south, Beech or Daviesia?",Gmelina leichhardtii | Daviesia | Pinus strobiformis | Wildlife of Kerala | Beech,Beech | Daviesia
Hybrid keyword,keyword_compress,5a8babf05542996e8ac8899e,"Whose native growing land is more south, Beech or Daviesia?",1.0,0.5,0.6934264036172708,1.25,0.0,2,native growing land more south beech daviesia,Gmelina leichhardtii | Daviesia | Beech | Pinus strobiformis | Idumuje-Unor,Beech | Daviesia
Dense original,keep,5a7f010955429934daa2fc8b,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,1.0,1.0,0.8772153153380493,1.5,0.0,1,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,Francis Ford Coppola | Anton Coppola | Eleanor Coppola | Basil Dean | Francis Ford Coppola Presents,Basil Dean | Francis Ford Coppola
Dense keyword,keyword_compress,5a7f010955429934daa2fc8b,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,0.5,1.0,0.6131471927654584,1.0,0.0,1,basil dean francis ford coppola both alive some point time,Francis Ford Coppola | Anton Coppola | Francis Ford Coppola Presents | Eleanor Coppola | Gia Coppola,Basil Dean | Francis Ford Coppola
Hybrid original,keep,5a7f010955429934daa2fc8b,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,0.5,1.0,0.6131471927654584,1.0,0.0,2,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,Francis Ford Coppola | Youth Without Youth (film) | Francis Ford Coppola Presents | Anton Coppola | Eleanor Coppola,Basil Dean | Francis Ford Coppola
Hybrid keyword,keyword_compress,5a7f010955429934daa2fc8b,Were Basil Dean and Francis Ford Coppola both alive at some point in time?,0.5,1.0,0.6131471927654584,1.0,0.0,2,basil dean francis ford coppola both alive some point time,Francis Ford Coppola | Youth Without Youth (film) | Francis Ford Coppola Presents | Anton Coppola | Gia Coppola,Basil Dean | Francis Ford Coppola
Dense original,keep,5a7a230e5542996a35c170ee,"What year was the film that starred the composer for ""The Naked Brothers Band""?",0.5,0.25,0.2640681225725909,0.625,0.0,1,"What year was the film that starred the composer for ""The Naked Brothers Band""?",The Naked Brothers Band: Music from the Movie | The Naked Brothers Band (album) | Alex Wolff | Nat Wolff | The Premiere (film),Nat Wolff | The Fault in Our Stars (film)
Dense keyword,keyword_compress,5a7a230e5542996a35c170ee,"What year was the film that starred the composer for ""The Naked Brothers Band""?",0.5,0.25,0.2640681225725909,0.625,0.0,1,year film starred composer naked brothers band,The Naked Brothers Band (album) | The Naked Brothers Band: Music from the Movie | Alex Wolff | Nat Wolff | Nat and Alex Wolff,Nat Wolff | The Fault in Our Stars (film)
Hybrid original,keep,5a7a230e5542996a35c170ee,"What year was the film that starred the composer for ""The Naked Brothers Band""?",0.5,0.25,0.2640681225725909,0.625,0.0,2,"What year was the film that starred the composer for ""The Naked Brothers Band""?",Alex Wolff | The Naked Brothers Band: Music from the Movie | The Naked Brothers Band (album) | Nat Wolff | I Don't Want to Go to School,Nat Wolff | The Fault in Our Stars (film)
Hybrid keyword,keyword_compress,5a7a230e5542996a35c170ee,"What year was the film that starred the composer for ""The Naked Brothers Band""?",1.0,0.3333333333333333,0.5437713091520254,1.1666666666666667,0.0,2,year film starred composer naked brothers band,Alex Wolff | The Naked Brothers Band (album) | Nat Wolff | The Naked Brothers Band: Music from the Movie | The Fault in Our Stars (film),Nat Wolff | The Fault in Our Stars (film)
Dense original,keep,5ae365205542990afbd1e12d,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",1.0,1.0,0.9197207891481876,1.5,0.0,1,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",Time Keeps On Slippin' | Simon &amp; Marcy | Futurama | Chef Aid | The Itchy &amp; Scratchy &amp; Poochie Show,Futurama | Time Keeps On Slippin'
Dense keyword,keyword_compress,5ae365205542990afbd1e12d,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",0.5,1.0,0.6131471927654584,1.0,0.0,1,creator animated television series fourteenth episode season three s title time keeps slippin,Time Keeps On Slippin' | Simon &amp; Marcy | Chef Aid | The Itchy &amp; Scratchy &amp; Poochie Show | Fatzcarraldo,Futurama | Time Keeps On Slippin'
Hybrid original,keep,5ae365205542990afbd1e12d,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",1.0,1.0,0.8772153153380493,1.5,0.0,2,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",Time Keeps On Slippin' | Bloody Mary (South Park) | Simon &amp; Marcy | Futurama | John Doe (Prison Break),Futurama | Time Keeps On Slippin'
Hybrid keyword,keyword_compress,5ae365205542990afbd1e12d,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",0.5,1.0,0.6131471927654584,1.0,0.0,2,creator animated television series fourteenth episode season three s title time keeps slippin,Time Keeps On Slippin' | Fatzcarraldo | Simon &amp; Marcy | The Itchy &amp; Scratchy &amp; Poochie Show | Chef Aid,Futurama | Time Keeps On Slippin'
Dense original,keep,5ae7936d5542997ec27276a7,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ? ",1.0,0.5,0.6509209298071326,1.25,0.0,1,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ?",Hu Shih | Hu Lanqi | List of Nobel laureates in Literature | Maxim Gorky | Nobel Prize in Literature,Hu Lanqi | Maxim Gorky
Dense keyword,keyword_compress,5ae7936d5542997ec27276a7,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ? ",0.5,0.5,0.38685280723454163,0.75,0.0,1,many times writer invited hu lanqi meet him moscow nominee nobel prize literature,Hu Shih | Hu Lanqi | Nobel Prize in Literature | List of Nobel laureates in Literature | Nobel Prize in Physics,Hu Lanqi | Maxim Gorky
Hybrid original,keep,5ae7936d5542997ec27276a7,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ? ",1.0,1.0,0.9197207891481876,1.5,0.0,2,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ?",Hu Lanqi | Hu Shih | Maxim Gorky | List of Nobel laureates in Literature | Derek Walcott,Hu Lanqi | Maxim Gorky
Hybrid keyword,keyword_compress,5ae7936d5542997ec27276a7,"How many times was the writer, who invited Hu Lanqi to meet him in Moscow, a nominee for the Nobel Prize in Literature ? ",1.0,1.0,0.8772153153380493,1.5,0.0,2,many times writer invited hu lanqi meet him moscow nominee nobel prize literature,Hu Lanqi | Hu Shih | Nobel Prize in Literature | Maxim Gorky | Derek Walcott,Hu Lanqi | Maxim Gorky
Dense original,keep,5a79f6ca554299029c4b5f90,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",1.0,1.0,1.0,1.5,0.0,1,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?","Aqua (band) | Mattel, Inc. v. MCA Records, Inc. | Lollipop (Candyman) | Doctor Jones | Daze (band)","Aqua (band) | Mattel, Inc. v. MCA Records, Inc."
Dense keyword,keyword_compress,5a79f6ca554299029c4b5f90,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",1.0,1.0,1.0,1.5,0.0,1,danish eurodance group single called barbie girl resulted lawsuit 2002,"Aqua (band) | Mattel, Inc. v. MCA Records, Inc. | Lollipop (Candyman) | Doctor Jones | Aquarium (Aqua album)","Aqua (band) | Mattel, Inc. v. MCA Records, Inc."
Hybrid original,keep,5a79f6ca554299029c4b5f90,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",1.0,1.0,0.9197207891481876,1.5,0.0,2,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?","Aqua (band) | Aquarium (Aqua album) | Mattel, Inc. v. MCA Records, Inc. | Doctor Jones | Lollipop (Candyman)","Aqua (band) | Mattel, Inc. v. MCA Records, Inc."
Hybrid keyword,keyword_compress,5a79f6ca554299029c4b5f90,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",1.0,1.0,1.0,1.5,0.0,2,danish eurodance group single called barbie girl resulted lawsuit 2002,"Mattel, Inc. v. MCA Records, Inc. | Aqua (band) | Aquarium (Aqua album) | Lollipop (Candyman) | René Dif","Aqua (band) | Mattel, Inc. v. MCA Records, Inc."
Dense original,keep,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,1,Are both Cypress and Ajuga genera?,Ajugeae | Cypress-pine | Cypress | Ajuga | Cupressus,Ajuga | Cypress
Dense keyword,keyword_compress,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,1,both cypress ajuga genera,Cypress-pine | Ajugeae | Ajuga | Cypress | Cupressus,Ajuga | Cypress
Hybrid original,keep,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,0.5,0.3333333333333333,0.3065735963827292,0.6666666666666666,0.0,2,Are both Cypress and Ajuga genera?,Ajugeae | Libocedrus | Ajuga | Cypress-pine | Cedrol,Ajuga | Cypress
Hybrid keyword,keyword_compress,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,1.0,0.25,0.5012658353418871,1.125,0.0,2,both cypress ajuga genera,Cypress-pine | Ajugeae | Libocedrus | Ajuga | Cypress,Ajuga | Cypress
Dense original,keep,5a81736255429903bc27b96e,"What is the formal name for the sporting facility located in Coos County, New Hampshire?",0.5,0.5,0.38685280723454163,0.75,0.0,1,"What is the formal name for the sporting facility located in Coos County, New Hampshire?","Lancaster, New Hampshire | Milan, New Hampshire | Coos Bay, Oregon | Rath Eastlink Community Centre | Sir Bruce Small Park","Milan, New Hampshire | Nansen Ski Jump"
Dense keyword,keyword_compress,5a81736255429903bc27b96e,"What is the formal name for the sporting facility located in Coos County, New Hampshire?",0.5,0.5,0.38685280723454163,0.75,0.0,1,formal name sporting facility located coos county new hampshire,"Lancaster, New Hampshire | Milan, New Hampshire | Rath Eastlink Community Centre | Coos Bay, Oregon | Sir Bruce Small Park","Milan, New Hampshire | Nansen Ski Jump"
Hybrid original,keep,5a81736255429903bc27b96e,"What is the formal name for the sporting facility located in Coos County, New Hampshire?",0.5,0.5,0.38685280723454163,0.75,0.0,2,"What is the formal name for the sporting facility located in Coos County, New Hampshire?","Lancaster, New Hampshire | Milan, New Hampshire | Coos Bay, Oregon | Pictou County Wellness Centre | Rath Eastlink Community Centre","Milan, New Hampshire | Nansen Ski Jump"
Hybrid keyword,keyword_compress,5a81736255429903bc27b96e,"What is the formal name for the sporting facility located in Coos County, New Hampshire?",0.5,0.5,0.38685280723454163,0.75,0.0,2,formal name sporting facility located coos county new hampshire,"Lancaster, New Hampshire | Milan, New Hampshire | Coos Bay, Oregon | Rath Eastlink Community Centre | Pictou County Wellness Centre","Milan, New Hampshire | Nansen Ski Jump"
Dense original,keep,5ac3adc35542995ef918c1e2,"Which is in the pop genre, Capital Cities or Tweaker?",1.0,1.0,1.0,1.5,0.0,1,"Which is in the pop genre, Capital Cities or Tweaker?",Capital Cities (band) | Tweaker (band) | Safe and Sound (Capital Cities song) | Capital Cities/ABC Inc. | Thomas Murphy (broadcasting),Capital Cities (band) | Tweaker (band)
Dense keyword,keyword_compress,5ac3adc35542995ef918c1e2,"Which is in the pop genre, Capital Cities or Tweaker?",1.0,1.0,1.0,1.5,0.0,1,pop genre capital cities tweaker,Capital Cities (band) | Tweaker (band) | Capital Cities/ABC Inc. | Safe and Sound (Capital Cities song) | Thomas Murphy (broadcasting),Capital Cities (band) | Tweaker (band)
Hybrid original,keep,5ac3adc35542995ef918c1e2,"Which is in the pop genre, Capital Cities or Tweaker?",1.0,1.0,0.9197207891481876,1.5,0.0,2,"Which is in the pop genre, Capital Cities or Tweaker?",Capital Cities (band) | Premio Lo Nuestro 2003 | Tweaker (band) | Safe and Sound (Capital Cities song) | Capital Cities/ABC Inc.,Capital Cities (band) | Tweaker (band)
Hybrid keyword,keyword_compress,5ac3adc35542995ef918c1e2,"Which is in the pop genre, Capital Cities or Tweaker?",1.0,1.0,1.0,1.5,0.0,2,pop genre capital cities tweaker,Tweaker (band) | Capital Cities (band) | Capital Cities/ABC Inc. | Premio Lo Nuestro 2003 | Safe and Sound (Capital Cities song),Capital Cities (band) | Tweaker (band)
Dense original,keep,5ae1ab715542997f29b3c0f7,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",1.0,1.0,1.0,1.5,0.0,1,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",Conspirare | Eric Whitacre | Filippo Maria Bressan | Lund Chamber Choir | Sofia boys choir,Conspirare | Eric Whitacre
Dense keyword,keyword_compress,5ae1ab715542997f29b3c0f7,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",1.0,1.0,1.0,1.5,0.0,1,virtual choir noted conductor created works austin based ensemble conspirare,Conspirare | Eric Whitacre | Filippo Maria Bressan | Lund Chamber Choir | Sofia boys choir,Conspirare | Eric Whitacre
Hybrid original,keep,5ae1ab715542997f29b3c0f7,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",1.0,1.0,1.0,1.5,0.0,2,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",Conspirare | Eric Whitacre | Lux Aurumque | Filippo Maria Bressan | Tarik O'Regan: Threshold of Night,Conspirare | Eric Whitacre
Hybrid keyword,keyword_compress,5ae1ab715542997f29b3c0f7,"What ""Virtual Choir""-noted conductor has created works for the Austin-based ensemble Conspirare?",1.0,1.0,1.0,1.5,0.0,2,virtual choir noted conductor created works austin based ensemble conspirare,Conspirare | Eric Whitacre | Guillaume de Van | Filippo Maria Bressan | Tarik O'Regan: Threshold of Night,Conspirare | Eric Whitacre
Dense original,keep,5ae1d1a55542997f29b3c138,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",1.0,1.0,1.0,1.5,0.0,1,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",Battle of Gavinana | Army of the Holy Roman Empire | French–Habsburg relations | Frederick William III of Prussia | Duchy of Württemberg,Army of the Holy Roman Empire | Battle of Gavinana
Dense keyword,keyword_compress,5ae1d1a55542997f29b3c138,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",1.0,1.0,1.0,1.5,0.0,1,fighter battle gavinana created 1422 came end holy roman empire wound up 1806 result napoleonic wars,Battle of Gavinana | Army of the Holy Roman Empire | French–Habsburg relations | Duchy of Württemberg | Corpus Evangelicorum,Army of the Holy Roman Empire | Battle of Gavinana
Hybrid original,keep,5ae1d1a55542997f29b3c138,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",1.0,1.0,1.0,1.5,0.0,2,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",Army of the Holy Roman Empire | Battle of Gavinana | Duchy of Württemberg | French–Habsburg relations | Uniformity policy,Army of the Holy Roman Empire | Battle of Gavinana
Hybrid keyword,keyword_compress,5ae1d1a55542997f29b3c138,"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",1.0,1.0,1.0,1.5,0.0,2,fighter battle gavinana created 1422 came end holy roman empire wound up 1806 result napoleonic wars,Army of the Holy Roman Empire | Battle of Gavinana | Corpus Evangelicorum | French–Habsburg relations | Duchy of Württemberg,Army of the Holy Roman Empire | Battle of Gavinana
Dense original,keep,5ab613985542992aa134a418,What kind of material forms the wrapping for the chocolate candies that Hershey Kissables were shaped like?,1.0,1.0,1.0,1.5,0.0,1,What kind of material forms the wrapping for the chocolate candies that Hershey Kissables were shaped like?,Hershey's Kisses | Hershey's Kissables | Hershey's Drops | NestEgg | Chocolaterie Robert,Hershey's Kissables | Hershey's Kisses
Dense keyword,keyword_compress,5ab613985542992aa134a418,What kind of material forms the wrapping for the chocolate candies that Hershey Kissables were shaped like?,1.0,1.0,1.0,1.5,0.0,1,kind material forms wrapping chocolate candies hershey kissables shaped like,Hershey's Kisses | Hershey's Kissables | Hershey's Drops | Chocolaterie Robert | Chocolate sandwich,Hershey's Kissables | Hershey's Kisses
